lead_id,company,domain,email,phone,segment,template_id,amount_example,savings_example,utm_channel,utm_campaign,status,notes
RW-0001,ZeroEx Money Changer,zeroex.com.sg,admin@zeroex.com.sg,'+65 8890 0065,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_32_moneychanger_SG.csv
RW-0005,Money Changers Association(Singapore),mca.sg,admin@mca.sg,'+6582465923,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_32_moneychanger_SG.csv
RW-0006,CashChanger - The leading Money Changers Exchange Rate in Singapore,cashchanger.co,team@cashchanger.co,,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_32_moneychanger_SG.csv
RW-0008,Thin Margin - Money Changing,thinmargin.com,hello@thinmargin.com,,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_32_moneychanger_SG.csv
RW-0009,TRANSEND (BUGIS MRT),transend.com.sg,info@transend.com.sg,,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_32_moneychanger_SG.csv
RW-0011,mChanger.sg - Singapore's leading digital and online platform for Money changers,mchanger.sg,sales@sinfosys-software.com.sg,'+91 1234567890,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_32_moneychanger_SG.csv
RW-0020,A Guide to Choosing a Remittance Service for Nigerians in Germany,acemoneytransfer.com,help@acemoneytransfer.com,'+44 161 3936 999,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_33_remittance_SG.csv
RW-0032,CYS Global Remit Pte Ltd,cys.com.sg,enquiry@cys.com.sg,,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_33_remittance_SG.csv
RW-0038,Money Transfer Services in Singapore | Singapore Remittance,eremit.sg,bizcare_distribution@eremit.sg,,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_33_remittance_SG.csv
RW-0040,Xinzhong Remittance Pte Ltd,xinzhong.com.sg,info@xinzhong.com.sg,'+6563629959,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_33_remittance_SG.csv
